2021年10月20日17时46分46秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=8c5d9516961b45e6b2ec7814398c53b0&simulatorId=352746020104537&otherNick=%E7%88%B1%E7%94%9F%E6%B4%BB%EF%BC%8C&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月20日17时46分45秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=352746020104537  return:{"code":0,"message":"获取局id成功","data":"8c5d9516961b45e6b2ec7814398c53b0"}
2021年10月20日17时46分44秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"不能报名","data":[]}
2021年10月20日17时46分42秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=a977046c4e42429c8dda67c29979ee4f&simulatorId=867632024659387&otherNick=%E5%B0%8F%E9%93%B8%EF%BC%8C&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月20日17时46分42秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=19fe9844b009404fb6b2c4c13a837c5b&simulatorId=010306028824190&otherNick=%E4%B9%9D%E4%B8%96%E5%96%84%E4%BA%BA&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月20日17时46分42秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=867632024659387  return:{"code":0,"message":"获取局id成功","data":"a977046c4e42429c8dda67c29979ee4f"}
2021年10月20日17时46分42秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010306028824190  return:{"code":0,"message":"获取局id成功","data":"19fe9844b009404fb6b2c4c13a837c5b"}
2021年10月20日17时46分42秒	api_申请加入二麻小组  url:http://192.168.10.22:8003/api/user/joinGroup?simulatorId=010139026475479  return:{"code":0,"message":"加入成功","data":[]}
2021年10月20日17时46分41秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=a7ddb714e314402fb2d37289404bd0ca&simulatorId=010305022787858&otherNick=dkslekdi&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"你金币少，你输","data":"lose"}
2021年10月20日17时46分41秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010305022787858  return:{"code":0,"message":"获取局id成功","data":"a7ddb714e314402fb2d37289404bd0ca"}
2021年10月20日17时46分37秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=352746020104537  return:{"code":0,"message":"可以报名","data":[]}
2021年10月20日17时46分35秒	api_申请加入二麻小组  url:http://192.168.10.22:8003/api/user/joinGroup?simulatorId=010139026475479  return:{"code":-1,"message":"加入失败","data":[]}
2021年10月20日17时46分35秒	api_通知服务器进入二麻场  url:http://192.168.10.22:8003/api/user/noticy?simulatorId=010139026475479  return:{"code":0,"message":"joinGroup","data":[]}
2021年10月20日17时46分35秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010139026475479  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月20日17时46分35秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=170&newNickName=%E5%A4%A9%E6%B6%AF%E7%BE%8E520  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时46分35秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=3580&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":{"goldCoin":3580,"userId":"170"}}
2021年10月20日17时46分35秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010139026475479  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月20日17时46分35秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=35d6b8beda36457a85da4e05e8a61ecf&result=0&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时46分35秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=867632024659387  return:{"code":0,"message":"可以报名","data":[]}
2021年10月20日17时46分35秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":0,"message":"可以报名","data":[]}
2021年10月20日17时46分35秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010306028824190  return:{"code":0,"message":"可以报名","data":[]}
2021年10月20日17时46分34秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=867632024659387  return:{"code":-1,"message":"等待大家一起报名，当前请求报名的人数：1","data":[]}
2021年10月20日17时46分34秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，当前请求报名的人数：1","data":[]}
2021年10月20日17时46分34秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010306028824190  return:{"code":-1,"message":"等待大家一起报名，当前请求报名的人数：0","data":[]}
2021年10月20日17时46分34秒	api_申请加入二麻小组  url:http://192.168.10.22:8003/api/user/joinGroup?simulatorId=352746020104537  return:{"code":0,"message":"加入成功","data":[]}
2021年10月20日17时46分34秒	api_通知服务器进入二麻场  url:http://192.168.10.22:8003/api/user/noticy?simulatorId=352746020104537  return:{"code":0,"message":"joinGroup","data":[]}
2021年10月20日17时46分34秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=352746020104537  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月20日17时46分34秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=576&newNickName=yuibnfy  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时46分34秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=4718&simulatorId=352746020104537  return:{"code":0,"message":"操作成功","data":{"goldCoin":4718,"userId":"576"}}
2021年10月20日17时46分34秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=352746020104537  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月20日17时46分34秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=64683a31394340f8981b38fb9790298c&result=1&simulatorId=352746020104537  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时46分18秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=867632024659387  return:{"code":-1,"message":"人数不够，当前人数：2","data":[]}
2021年10月20日17时46分16秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"人数不够，当前人数：2","data":[]}
2021年10月20日17时46分16秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010306028824190  return:{"code":-1,"message":"人数不够，当前人数：2","data":[]}
2021年10月20日17时46分16秒	api_申请加入二麻小组  url:http://192.168.10.22:8003/api/user/joinGroup?simulatorId=867632024659387  return:{"code":0,"message":"加入成功","data":[]}
2021年10月20日17时46分16秒	api_通知服务器进入二麻场  url:http://192.168.10.22:8003/api/user/noticy?simulatorId=867632024659387  return:{"code":0,"message":"joinGroup","data":[]}
2021年10月20日17时46分16秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=867632024659387  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月20日17时46分16秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=80&newNickName=dkslekdi  return:{"code":0,"message":"操作成功","data":[]}
