2021年10月18日17时59分45秒	JJparents-3  执行步骤:进入极速二麻自由桌界面
2021年10月18日17时59分29秒	JJparents-3  执行步骤:修改密码成功
2021年10月18日17时59分5秒	JJparents-1  执行步骤:修改密码
2021年10月18日17时59分3秒	JJparents-1  执行步骤:登录结果:登录成功
2021年10月18日17时58分46秒	JJparents-3  执行步骤:修改密码
2021年10月18日17时58分44秒	JJparents-3  执行步骤:登录结果:登录成功
2021年10月18日17时58分25秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时58分25秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月18日17时58分25秒	JJparents-2  执行步骤:修改密码
2021年10月18日17时58分23秒	JJparents-2  执行步骤:登录结果:登录成功
2021年10月18日17时58分16秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时58分16秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月18日17时58分7秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时58分7秒	JJparents-1  执行步骤:登录结果:账号已登录
2021年10月18日17时57分59秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时57分58秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月18日17时57分58秒	JJparents-4  执行步骤:等待报名
2021年10月18日17时57分54秒	JJparents-4  执行步骤:点开报名界面
2021年10月18日17时57分49秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时57分49秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月18日17时57分40秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时57分40秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月18日17时57分31秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时57分31秒	JJparents-1  执行步骤:登录结果:账号或密码错误
2021年10月18日17时57分21秒	JJparents-4  执行步骤:进入极速二麻自由桌界面
2021年10月18日17时57分20秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时57分19秒	JJparents-1  执行步骤:登录结果:账号被封
