2021年10月19日15时53分29秒	JJparents-11  执行步骤:修改密码
2021年10月19日15时53分26秒	JJparents-11  执行步骤:登录结果:登录成功
2021年10月19日15时52分31秒	JJparents-11  执行步骤:登录JJ斗地主
2021年10月19日15时52分31秒	JJparents-11  执行步骤:登录失败
2021年10月19日15时52分31秒	JJparents-11  执行步骤:登录结果:账号被封
2021年10月19日15时52分26秒	JJparents-12  执行步骤:登录JJ斗地主
2021年10月19日15时52分26秒	JJparents-12  执行步骤:登录失败
2021年10月19日15时52分26秒	JJparents-12  执行步骤:登录结果:账号被封
2021年10月19日15时52分23秒	JJparents-10  执行步骤:登录JJ斗地主
2021年10月19日15时52分23秒	JJparents-10  执行步骤:登录失败
2021年10月19日15时52分23秒	JJparents-10  执行步骤:登录结果:账号被封
2021年10月19日15时52分22秒	JJparents-11  执行步骤:登录JJ斗地主
2021年10月19日15时52分22秒	JJparents-11  执行步骤:登录失败
2021年10月19日15时52分22秒	JJparents-11  执行步骤:登录结果:账号被封
2021年10月19日15时52分19秒	JJparents-13  执行步骤:登录JJ斗地主
2021年10月19日15时52分19秒	JJparents-13  执行步骤:登录失败
2021年10月19日15时52分19秒	JJparents-13  执行步骤:登录结果:账号被封
2021年10月19日15时52分16秒	JJparents-12  执行步骤:登录JJ斗地主
2021年10月19日15时52分16秒	JJparents-12  执行步骤:获取账号密码
2021年10月19日15时52分16秒	JJparents-12  执行步骤:登录游戏
2021年10月19日15时52分16秒	JJparents-12  执行步骤:退出游戏登录完成
2021年10月19日15时52分16秒	JJparents-12  执行步骤:打开完成
2021年10月19日15时52分14秒	JJparents-10  执行步骤:登录JJ斗地主
2021年10月19日15时52分14秒	JJparents-10  执行步骤:获取账号密码
2021年10月19日15时52分14秒	JJparents-10  执行步骤:登录游戏
2021年10月19日15时52分14秒	JJparents-10  执行步骤:退出游戏登录完成
2021年10月19日15时52分14秒	JJparents-10  执行步骤:打开完成
2021年10月19日15时52分12秒	JJparents-11  执行步骤:登录JJ斗地主
2021年10月19日15时52分12秒	JJparents-11  执行步骤:获取账号密码
2021年10月19日15时52分12秒	JJparents-11  执行步骤:登录游戏
2021年10月19日15时52分12秒	JJparents-11  执行步骤:退出游戏登录完成
2021年10月19日15时52分12秒	JJparents-11  执行步骤:打开完成
2021年10月19日15时52分10秒	JJparents-13  执行步骤:登录JJ斗地主
2021年10月19日15时52分10秒	JJparents-13  执行步骤:获取账号密码
2021年10月19日15时52分10秒	JJparents-13  执行步骤:登录游戏
2021年10月19日15时52分10秒	JJparents-13  执行步骤:退出游戏登录完成
2021年10月19日15时52分10秒	JJparents-13  执行步骤:打开完成
2021年10月19日15时51分18秒	JJparents-10  执行步骤:打开JJ斗地主
2021年10月19日15时51分18秒	JJparents-11  执行步骤:打开JJ斗地主
2021年10月19日15时51分18秒	JJparents-12  执行步骤:打开JJ斗地主
2021年10月19日15时51分17秒	JJparents-13  执行步骤:打开JJ斗地主
2021年10月19日15时42分16秒	JJparents-10  执行步骤:修改密码
2021年10月19日15时42分14秒	JJparents-10  执行步骤:登录结果:登录成功
2021年10月19日15时42分11秒	JJparents-13  执行步骤:修改密码
2021年10月19日15时42分9秒	JJparents-13  执行步骤:登录结果:登录成功
2021年10月19日15时41分41秒	JJparents-12  执行步骤:进入极速二麻自由桌界面
2021年10月19日15时41分40秒	JJparents-12  执行步骤:登录结果:登录成功
2021年10月19日15时41分13秒	JJparents-11  执行步骤:进入极速二麻自由桌界面
2021年10月19日15时41分12秒	JJparents-11  执行步骤:登录结果:登录成功
2021年10月19日15时40分41秒	JJparents-12  执行步骤:登录JJ斗地主
2021年10月19日15时40分40秒	JJparents-12  执行步骤:登录失败
2021年10月19日15时40分40秒	JJparents-12  执行步骤:登录结果:账号被封
2021年10月19日15时40分32秒	JJparents-12  执行步骤:登录JJ斗地主
2021年10月19日15时40分31秒	JJparents-12  执行步骤:登录失败
2021年10月19日15时40分31秒	JJparents-12  执行步骤:登录结果:账号被封
2021年10月19日15时40分23秒	JJparents-12  执行步骤:登录JJ斗地主
2021年10月19日15时40分22秒	JJparents-12  执行步骤:登录失败
2021年10月19日15时40分22秒	JJparents-12  执行步骤:登录结果:账号被封
2021年10月19日15时40分14秒	JJparents-12  执行步骤:登录JJ斗地主
2021年10月19日15时40分14秒	JJparents-12  执行步骤:获取账号密码
2021年10月19日15时40分14秒	JJparents-12  执行步骤:登录游戏
2021年10月19日15时40分14秒	JJparents-12  执行步骤:退出游戏登录完成
2021年10月19日15时40分14秒	JJparents-12  执行步骤:打开完成
