2021年10月20日15时59分53秒	JJparents-6  执行步骤:进入游戏获取对局ID
2021年10月20日15时59分46秒	JJparents-1  执行步骤:进入游戏获取对局ID
2021年10月20日15时59分46秒	JJparents-2  执行步骤:进入游戏获取对局ID
2021年10月20日15时59分41秒	JJparents-2  执行步骤:3秒后开始报名
2021年10月20日15时59分41秒	JJparents-6  执行步骤:3秒后开始报名
2021年10月20日15时59分41秒	JJparents-1  执行步骤:3秒后开始报名
2021年10月20日15时59分37秒	JJparents-6  执行步骤:等待报名
2021年10月20日15时59分35秒	JJparents-6  执行步骤:点开报名界面
2021年10月20日15时59分35秒	JJparents-6  执行步骤:获取进入场
2021年10月20日15时59分35秒	JJparents-6  执行步骤:更新昵称
2021年10月20日15时59分35秒	JJparents-6  执行步骤:更新金币数
2021年10月20日15时59分13秒	JJparents-6  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时59分12秒	JJparents-6  执行步骤:登录结果:登录成功
2021年10月20日15时58分31秒	JJparents-3  执行步骤:修改密码成功
2021年10月20日15时58分26秒	JJparents-6  执行步骤:登录JJ斗地主
2021年10月20日15时58分26秒	JJparents-6  执行步骤:获取账号密码
2021年10月20日15时58分26秒	JJparents-6  执行步骤:登录游戏
2021年10月20日15时58分26秒	JJparents-6  执行步骤:退出游戏登录完成
2021年10月20日15时58分26秒	JJparents-6  执行步骤:打开完成
2021年10月20日15时58分22秒	JJparents-1  执行步骤:等待报名
2021年10月20日15时58分20秒	JJparents-1  执行步骤:点开报名界面
2021年10月20日15时58分20秒	JJparents-1  执行步骤:获取进入场
2021年10月20日15时58分20秒	JJparents-1  执行步骤:更新昵称
2021年10月20日15时58分20秒	JJparents-1  执行步骤:更新金币数
2021年10月20日15时57分59秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时57分37秒	JJparents-1  执行步骤:修改密码成功
2021年10月20日15时57分36秒	JJparents-5  执行步骤:进入游戏获取对局ID
2021年10月20日15时57分32秒	JJparents-4  执行步骤:进入游戏获取对局ID
2021年10月20日15时57分30秒	JJparents-6  执行步骤:打开JJ斗地主
2021年10月20日15时57分30秒	JJparents-2  执行步骤:等待报名
2021年10月20日15时57分28秒	JJparents-2  执行步骤:点开报名界面
2021年10月20日15时57分27秒	JJparents-6  执行步骤:金币不足
2021年10月20日15时57分26秒	JJparents-6  执行步骤:3秒后开始报名
2021年10月20日15时57分26秒	JJparents-4  执行步骤:3秒后开始报名
2021年10月20日15时57分26秒	JJparents-5  执行步骤:3秒后开始报名
2021年10月20日15时57分23秒	JJparents-6  执行步骤:等待报名
2021年10月20日15时57分21秒	JJparents-2  执行步骤:获取进入场
2021年10月20日15时57分21秒	JJparents-2  执行步骤:更新昵称
2021年10月20日15时57分21秒	JJparents-2  执行步骤:更新金币数
2021年10月20日15时57分16秒	JJparents-4  执行步骤:等待报名
2021年10月20日15时57分16秒	JJparents-5  执行步骤:等待报名
2021年10月20日15时57分14秒	JJparents-4  执行步骤:点开报名界面
2021年10月20日15时57分14秒	JJparents-6  执行步骤:点开报名界面
2021年10月20日15时57分13秒	JJparents-5  执行步骤:点开报名界面
2021年10月20日15时57分13秒	JJparents-5  执行步骤:获取进入场
