2021年10月21日16时59分55秒	JJparents-2  执行步骤:等待报名
2021年10月21日16时59分47秒	JJparents-2  执行步骤:点开报名界面
2021年10月21日16时59分47秒	JJparents-2  执行步骤:获取进入场
2021年10月21日16时59分47秒	JJparents-2  执行步骤:更新昵称
2021年10月21日16时59分47秒	JJparents-2  执行步骤:更新金币数
2021年10月21日16时59分46秒	JJparents-1  执行步骤:进入游戏获取对局ID
2021年10月21日16时59分45秒	JJparents-10  执行步骤:修改密码
2021年10月21日16时59分45秒	JJparents-11  执行步骤:进入游戏获取对局ID
2021年10月21日16时59分45秒	JJparents-9  执行步骤:进入游戏获取对局ID
2021年10月21日16时59分45秒	JJparents-6  执行步骤:进入游戏获取对局ID
2021年10月21日16时59分37秒	JJparents-6  执行步骤:3秒后开始报名
2021年10月21日16时59分37秒	JJparents-9  执行步骤:3秒后开始报名
2021年10月21日16时59分37秒	JJparents-11  执行步骤:3秒后开始报名
2021年10月21日16时59分37秒	JJparents-1  执行步骤:3秒后开始报名
2021年10月21日16时59分37秒	JJparents-6  执行步骤:等待报名
2021年10月21日16时59分34秒	JJparents-11  执行步骤:等待报名
2021年10月21日16时59分34秒	JJparents-6  执行步骤:点开报名界面
2021年10月21日16时59分34秒	JJparents-6  执行步骤:获取进入场
2021年10月21日16时59分34秒	JJparents-6  执行步骤:更新昵称
2021年10月21日16时59分34秒	JJparents-6  执行步骤:更新金币数
2021年10月21日16时59分34秒	JJparents-6  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时59分34秒	JJparents-6  执行步骤:询问是否继续打二麻
2021年10月21日16时59分32秒	JJparents-11  执行步骤:点开报名界面
2021年10月21日16时59分32秒	JJparents-11  执行步骤:获取进入场
2021年10月21日16时59分32秒	JJparents-11  执行步骤:更新昵称
2021年10月21日16时59分32秒	JJparents-11  执行步骤:更新金币数
2021年10月21日16时59分32秒	JJparents-11  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时59分32秒	JJparents-11  执行步骤:询问是否继续打二麻
2021年10月21日16时59分30秒	JJparents-14  执行步骤:运行JJ斗地主app
2021年10月21日16时59分30秒	JJparents-14  执行步骤:绑定模拟器
2021年10月21日16时59分30秒	绑定模拟器 name:JJparents-14 hwnd:3476688
2021年10月21日16时59分30秒	JJparents-6  执行步骤:返回自由桌界面
