2021年10月26日16时4分18秒	JJparents-1  执行步骤:登录成功
2021年10月26日16时3分31秒	JJparents-1  执行步骤:正在登录
2021年10月26日16时3分30秒	JJparents-1  执行步骤:登录失败
2021年10月26日16时3分30秒	JJparents-1  执行步骤:账号被封
2021年10月26日16时3分22秒	JJparents-1  执行步骤:正在登录
2021年10月26日16时3分21秒	JJparents-1  执行步骤:登录失败
2021年10月26日16时3分21秒	JJparents-1  执行步骤:账号被封
2021年10月26日16时3分11秒	JJparents-1  执行步骤:正在登录
2021年10月26日16时3分11秒	JJparents-1  执行步骤:登录失败
2021年10月26日16时3分11秒	JJparents-1  执行步骤:账号被封
2021年10月26日16时3分2秒	JJparents-1  执行步骤:正在登录
2021年10月26日16时3分2秒	JJparents-1  执行步骤:登录失败
2021年10月26日16时3分2秒	JJparents-1  执行步骤:账号被封
2021年10月26日16时2分53秒	JJparents-1  执行步骤:正在登录
2021年10月26日16时2分53秒	JJparents-1  执行步骤:登录失败
2021年10月26日16时2分53秒	JJparents-1  执行步骤:账号被封
2021年10月26日16时2分44秒	JJparents-1  执行步骤:正在登录
2021年10月26日16时2分44秒	JJparents-1  执行步骤:登录失败
2021年10月26日16时2分44秒	JJparents-1  执行步骤:账号被封
2021年10月26日16时2分32秒	JJparents-1  执行步骤:正在登录
2021年10月26日16时2分32秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月26日16时2分8秒	JJparents-1  执行步骤:运行JJ斗地主app
2021年10月26日16时2分8秒	JJparents-1  执行步骤:绑定模拟器
2021年10月26日16时2分8秒	绑定模拟器 name:JJparents-1 hwnd:1181284
2021年10月26日16时1分56秒	JJparents-1  执行步骤:打开模拟器
2021年10月26日16时1分56秒	JJparents-1  执行步骤:更换模拟器环境
2021年10月26日16时1分53秒	JJparents-1  执行步骤:克隆模拟器
2021年10月26日16时1分51秒	JJparents-1  执行步骤:删除模拟器
2021年10月26日16时1分51秒	JJparents-1  执行步骤:关闭模拟器
